web-scraper-order,web-scraper-start-url,nom,prix,adresse,img_link-src
"1739376503-57","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2351112_uploaded_image1_1593181120.jpg"
"1739376503-58","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Kittens / chatons","90 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2319268_uploaded_image1_1592689460.jpg"
"1739376503-59","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_2296024_uploaded_image1_1592332889.jpg"
"1739376503-60","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","130 000CFA","Medina, Dakar, Sénégal","https://images.coinafrique.com/thumb_2281845_uploaded_image1_1592124037.jpg"
"1739376503-61","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2276153_uploaded_image1_1592008517.jpg"
"1739376503-62","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","1 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2275120_uploaded_image1_1591990153.jpg"
"1739376503-63","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau Nélore","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2251055_uploaded_image1_1591656431.jpg"
"1739376503-64","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton york chocolat","150 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2240976_uploaded_image1_1591487576.jpg"
"1739376503-65","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","600 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_2239779_uploaded_image1_1591466346.jpg"
"1739376503-66","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Poussins brahman et cochin","Prix sur demande","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_2230369_uploaded_image1_1591316836.jpg"
"1739376503-67","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2161624_uploaded_image1_1590236359.jpg"
"1739376503-68","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf élevage","750 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2147334_uploaded_image1_1590007941.jpg"
"1739376503-69","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2101700_uploaded_image1_1589308300.jpg"
"1739376503-70","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2088141_uploaded_image1_1589099089.jpg"
"1739376503-71","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chèvre Race Boer","650 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2061898_uploaded_image1_1588694077.jpg"
"1739376503-72","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton persan blanc","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2052355_uploaded_image1_1588568181.jpg"
"1739376503-73","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton persan chinchilla","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_2025374_uploaded_image1_1588119661.jpg"
"1739376503-74","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","475CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_1998573_uploaded_image1_1587685670.89.jpeg"
"1739376503-75","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1962491_uploaded_image1_1587134135.76.jpeg"
"1739376503-76","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1954085_uploaded_image1_1587026162.65.jpeg"
"1739376503-77","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches","Prix sur demande","Diourbel, Sénégal","https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png"
"1739376503-78","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton Persan","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1935403_uploaded_image1_1586726495.69.png"
"1739376503-79","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1934309_uploaded_image1_1586712626.03.png"
"1739376503-80","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat Siamois","Prix sur demande","Fann, Dakar, Sénégal","https://images.coinafrique.com/thumb_1899735_uploaded_image1_1586139854.78.png"
"1739376503-81","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindon rouge","30 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1890125_uploaded_image1_1585933665.81.png"
"1739376503-82","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chat siamois","350 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png"
"1739376503-83","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","600 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_1606230_uploaded_image1_1581008311.59.png"
"1739376503-84","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeufs","750 000CFA","Tambacounda, Sénégal","https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png"
"1739376503-85","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple de chèvre","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1521675_uploaded_image1_1579700066.65.png"
"1739376503-86","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vaches","275 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_1500655_uploaded_image1_1579358078.9.png"
"1739376503-87","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","700 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_1495773_uploaded_image1_1579276951.77.png"
"1739376503-88","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dindes - canards et colverts","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1490889_uploaded_image1_1579188174.8.png"
"1739376503-89","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Biscuit en poudre pour betail","4 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png"
"1739376503-90","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png"
"1739376503-91","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453830_uploaded_image1_1578583361.91.png"
"1739376503-92","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1441558_uploaded_image1_1578406878.24.png"
"1739376503-93","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1739376503-94","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","400 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png"
"1739376503-95","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","400 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421196_uploaded_image1_1578050637.48.png"
"1739376503-96","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies de guinée","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_1417652_uploaded_image1_1577968881.34.png"
"1739376503-97","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1395711_uploaded_image1_1577438640.7.png"
